Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
39,2,0,0
29,0,6,0
32,5,3,1
29,0,0,0
37,1,7,0
37,1,2,0
41,0,0,0
42,1,2,0
40,0,1,0
40,1,5,1
33,1,0,1
44,2,0,0
47,3,0,0
30,1,1,0
42,6,1,0
38,1,6,0
41,1,1,0
37,1,3,0
47,1,1,0
45,0,3,0
28,1,7,0
41,1,2,1
44,0,4,1
39,0,3,0
40,1,1,1
35,3,1,0
31,1,0,1
36,0,1,0
33,2,1,0
37,1,0,1
35,0,1,0
32,4,5,3
38,2,4,0
31,5,9,2
41,2,0,0
44,0,2,1
36,4,1,0
26,1,3,0
41,2,1,2
44,0,0,0
17,2,8,1
43,0,4,2
46,0,8,0
32,1,1,0
29,1,0,0
34,0,0,0
31,5,1,0
34,2,3,0
37,3,6,2
44,1,3,0
21,2,4,2
48,1,0,1
34,1,0,0
23,0,2,0
33,2,1,0
39,0,1,1
28,1,6,0
28,2,1,0
34,4,1,0
35,1,1,0
47,0,0,0
40,0,0,0
41,3,2,1
46,2,2,1
36,1,3,0
38,3,3,0
30,1,0,0
41,1,1,0
42,6,2,0
31,0,4,0
37,1,1,0
33,9,3,2
30,6,2,1
35,3,2,0
32,0,0,0
45,2,4,2
32,0,2,0
47,0,2,0
34,0,2,0
49,1,2,0
32,1,0,0
37,0,4,0
37,1,1,0
48,2,1,1
28,5,4,2
42,3,0,0
31,5,0,0
35,5,0,0
35,2,0,0
37,7,1,0
42,3,0,0
29,0,2,0
29,4,0,1
25,5,8,1
30,1,5,0
47,4,3,0
37,0,2,0
37,2,3,1
26,0,7,1
37,0,7,0
30,2,2,0
35,2,4,0
43,4,1,0
29,0,1,0
40,0,13,0
37,2,1,1
34,2,2,2
40,2,0,0
32,5,1,2
30,2,0,0
44,1,2,0
23,4,2,0
42,0,1,0
35,2,5,2
36,8,1,1
35,0,0,0
40,1,3,0
42,2,1,0
26,1,1,0
41,3,3,0
33,3,0,0
34,1,1,0
31,6,0,0
36,0,1,0
36,1,0,0
40,4,0,0
46,1,2,0
26,3,1,0
41,0,4,0
28,1,3,0
50,1,2,0
38,1,0,0
36,1,8,1
36,0,3,0
32,4,1,0
40,1,3,0
40,1,1,0
35,0,7,0
31,5,1,1
30,0,3,1
38,1,0,0
40,1,1,0
31,0,2,0
36,1,1,0
33,2,4,0
29,0,3,0
45,2,1,0
33,0,8,1
39,4,2,1
48,0,2,0
42,0,2,0
26,1,2,0
33,0,4,2
30,0,2,0
30,0,6,1
40,2,2,0
36,11,1,1
36,4,0,0
31,3,6,2
27,4,0,1
38,0,1,0
41,1,2,0
39,7,0,0
46,0,5,0
42,1,2,0
29,0,1,0
38,0,0,0
31,0,0,0
40,0,4,1
32,2,2,0
40,3,2,1
43,1,3,1
28,0,1,0
33,0,1,0
44,1,7,0
34,3,1,2
30,0,8,1
31,5,0,1
38,4,5,1
37,1,3,1
41,1,2,0
42,0,3,0
40,0,2,0
43,1,0,0
31,3,2,0
43,0,1,0
32,0,5,2
30,1,2,0
31,1,1,0
33,1,1,1
40,2,0,1
37,1,0,1
42,3,2,0
38,1,0,0
30,5,4,0
39,3,3,0
35,0,0,0
37,0,2,0
36,0,2,1
43,3,1,1
34,1,1,1
32,1,2,0
40,0,3,1
27,4,2,1
46,3,1,0
30,4,2,2
32,3,3,2
36,2,2,0
30,6,2,1
47,0,0,0
37,2,3,1
41,0,2,1
39,2,1,0
26,4,0,1
25,2,1,0
30,2,0,0
43,1,1,1
44,0,2,0
36,2,2,1
26,2,2,0
47,1,1,1
35,4,3,0
48,2,2,0
49,1,1,0
42,0,0,0
31,1,6,1
24,3,2,2
35,2,1,0
38,0,2,0
40,0,1,0
41,0,2,0
29,0,8,1
33,2,0,0
35,8,1,0
36,3,1,1
34,2,3,2
33,1,9,1
48,2,1,1
42,2,0,0
35,0,3,0
33,0,2,1
33,3,0,2
45,1,1,1
47,1,2,1
38,2,3,0
35,3,2,0
23,1,2,4
38,2,2,1
51,1,1,0
44,1,0,0
30,0,3,0
45,1,2,0
24,4,4,0
27,0,4,0
32,1,1,0
31,2,5,0
40,1,2,0
35,2,2,0
36,1,1,0
34,3,0,0
31,1,1,0
38,2,2,0
32,2,0,0
31,1,2,0
48,0,1,0
51,1,3,0
42,1,0,1
47,2,1,0
25,3,2,0
33,1,1,0
35,0,0,0
42,1,3,0
45,0,0,1
36,2,0,0
45,2,3,1
21,2,3,2
40,1,2,0
38,1,3,0
44,7,1,0
39,1,1,0
44,1,1,0
27,8,1,0
32,11,0,0
41,2,0,0
39,0,3,1
35,5,0,0
30,0,2,0
28,4,5,1
34,8,0,1
35,1,0,0
22,0,2,0
28,0,2,0
37,0,6,1
37,1,2,0
39,4,2,0
29,0,3,0
27,3,2,0
30,1,0,0
34,1,1,0
33,1,2,0
39,1,1,0
54,0,0,0
36,1,0,0
45,1,3,0
36,1,1,0
38,2,3,0
32,1,1,0
40,0,0,2
39,0,1,0
38,0,2,1
43,0,6,1
35,3,1,0
39,1,1,0
44,3,2,0
34,1,2,0
41,0,2,1
35,3,3,1
29,3,2,0
28,3,2,1
30,3,3,0
42,2,2,2
36,1,1,0
39,1,1,0
30,2,2,1
53,0,1,0
40,1,7,2
43,2,0,0
22,0,6,2
33,0,0,0
43,1,2,0
27,1,11,1
44,1,2,0
38,3,0,0
33,0,1,0
45,1,2,0
46,9,1,0
42,1,0,1
37,1,3,0
22,5,0,1
36,2,1,3
44,4,1,0
35,2,1,1
40,0,0,0
35,2,3,0
35,6,1,0
25,4,9,2
47,1,2,0
35,4,2,3
35,0,2,0
35,5,1,0
49,3,2,0
38,0,2,0
40,0,2,1
35,0,5,0
27,7,1,0
28,0,9,0
27,3,7,2
33,0,6,0
24,0,0,1
34,0,1,1
42,0,2,2
31,3,4,3
39,1,5,0
35,1,2,1
47,0,0,0
32,2,6,1
34,3,0,0
35,2,2,0
32,2,2,0
45,1,3,0
42,1,2,0
38,1,2,0
36,0,6,0
33,0,0,0
47,2,3,0
29,1,7,0
35,2,3,0
41,1,1,0
42,2,3,0
41,0,0,0
36,1,1,0
39,0,4,1
53,0,1,0
42,1,1,0
29,2,0,0
40,1,1,0
30,6,1,1
47,0,2,0
49,0,2,0
50,2,5,0
29,3,7,2
50,0,0,0
49,1,2,0
41,0,10,0
26,1,1,0
31,0,2,0
42,0,0,0
33,1,4,0
37,1,0,0
37,4,1,0
51,5,1,0
34,2,2,1
37,1,0,0
28,2,0,0
36,0,2,1
44,1,6,1
33,0,2,0
33,1,7,0
32,3,0,0
48,3,2,0
30,4,1,1
38,0,0,0
39,2,1,0
45,0,1,0
40,0,1,0
36,1,2,1
43,10,1,0
34,1,1,0
38,0,0,0
40,4,2,1
35,5,1,0
38,0,0,1
36,1,0,0
46,1,5,0
47,0,4,0
40,1,1,0
40,3,1,0
37,0,2,0
32,2,3,0
29,4,2,2
37,1,3,0
39,1,2,0
30,7,1,0
33,7,2,1
46,3,1,0
36,2,0,0
45,0,1,0
32,1,1,0
31,1,0,0
38,1,3,0
39,0,0,0
38,0,0,0
36,3,1,0
34,0,5,1
44,1,3,0
29,3,4,1
25,2,2,0
34,0,4,1
30,3,0,0
52,2,2,1
38,6,0,2
23,3,1,0
27,1,1,0
33,3,1,0
41,1,6,0
30,1,8,1
31,0,1,0
46,1,2,0
46,0,1,0
43,1,0,1
30,5,7,0
33,1,0,0
41,0,0,0
25,1,1,0
33,0,2,0
26,4,2,3
29,1,1,0
41,5,5,3
34,1,4,0
31,1,1,0
33,5,2,1
42,3,0,1
28,5,1,0
43,1,1,0
32,0,0,1
33,3,1,0
30,5,2,1
36,1,1,0
32,7,0,0
29,2,1,1
31,2,2,0
40,0,2,0
30,8,2,0
42,5,0,0
36,1,1,0
43,2,2,0
40,3,0,1
36,0,5,0
36,0,2,0
37,1,3,0
36,2,4,1
32,0,2,0
32,6,3,1
38,2,1,0
44,1,3,0
25,0,9,1
41,2,1,0
44,2,3,0
37,1,0,0
26,1,4,0
31,2,0,0
27,7,0,0
31,1,8,0
34,2,1,2
31,2,0,0
34,0,5,0
32,5,0,0
32,1,0,0
43,0,1,0
43,1,5,0
35,3,1,0
45,5,0,0
33,2,0,1
36,3,0,1
34,2,6,0
47,2,2,0
45,0,3,0
42,0,0,1
30,1,1,1
43,2,2,0
34,0,3,0
30,1,1,0
37,2,1,0
46,4,1,0
44,1,1,1
36,0,0,0
38,3,0,0
33,2,1,0
33,0,1,1
44,0,1,1
37,0,2,2
33,2,3,0
36,1,2,2
38,3,3,0
42,1,1,0
35,3,0,0
29,2,1,0
27,3,0,0
31,7,3,0
41,2,4,0
29,3,1,0
52,0,0,0
38,1,0,0
33,1,0,0
35,1,1,0
26,2,1,1
48,2,0,0
29,1,0,3
38,4,1,0
25,0,5,1
39,0,2,0
23,2,5,4
41,2,1,0
33,4,1,2
40,1,1,0
38,0,1,0
35,1,0,0
35,3,2,1
44,1,1,0
35,2,3,0
35,0,10,0
32,2,1,0
24,0,1,0
27,0,1,0
25,3,2,0
38,2,1,0
20,0,9,0
24,0,2,0
27,1,1,0
35,1,5,0
44,1,0,0
35,4,0,0
36,0,7,2
35,1,1,1
36,2,2,0
40,1,3,1
40,0,6,1
44,1,0,0
41,0,0,1
39,0,0,0
34,1,2,0
35,1,2,1
37,1,1,0
39,5,1,2
40,0,0,1
37,1,2,1
29,1,0,1
33,0,0,0
45,2,1,0
30,5,2,1
37,2,1,0
36,0,0,0
35,2,0,1
37,2,0,0
46,1,2,0
39,1,2,0
21,1,7,1
44,2,2,1
41,1,3,0
46,1,1,0
38,0,1,0
35,4,1,0
44,1,0,0
34,1,4,3
38,3,0,0
35,0,4,0
32,6,0,1
33,2,1,1
30,1,1,0
37,2,1,0
35,7,3,2
35,0,1,0
41,1,3,0
36,0,1,0
36,2,4,0
25,0,7,1
43,4,3,0
32,1,1,2
36,2,0,0
34,4,3,0
39,0,0,0
28,7,1,1
44,3,1,0
32,1,1,0
37,0,1,0
24,2,2,0
26,0,9,0
42,0,1,0
32,3,0,2
53,1,0,0
38,2,8,0
32,1,3,2
29,0,1,1
30,1,1,0
46,0,1,0
45,1,0,1
26,1,5,2
40,1,7,0
36,8,0,1
36,1,1,0
40,1,3,0
47,1,1,1
36,10,2,0
36,0,0,0
32,13,2,2
31,0,5,1
36,2,2,0
35,1,2,1
34,0,4,2
42,0,3,1
32,7,0,1
40,1,1,0
43,0,1,0
37,9,2,1
27,3,1,1
26,0,1,0
38,0,4,0
33,1,2,0
34,3,0,1
34,1,1,0
39,1,2,0
45,1,0,0
39,1,2,0
41,6,1,0
45,2,1,0
39,1,1,0
24,1,1,1
44,1,4,0
22,1,2,0
32,0,12,1
42,0,1,0
37,1,2,2
40,2,1,0
37,1,1,0
33,0,5,1
30,0,2,0
30,3,4,1
35,1,7,1
43,3,2,0
36,5,2,0
43,1,0,0
41,0,3,0
28,6,5,2
23,3,0,1
40,3,2,0
36,1,3,0
33,0,3,0
23,2,0,0
45,1,0,0
31,3,3,0
46,0,2,0
40,0,1,0
48,1,2,1
31,1,2,0
37,1,2,0
29,0,2,0
23,1,0,0
42,0,2,1
39,1,1,0
28,1,3,0
42,0,1,0
39,1,1,0
25,2,0,0
23,0,5,0
24,1,3,3
29,0,0,0
31,0,1,0
28,1,3,0
28,0,3,1
37,0,4,0
45,1,2,0
39,2,1,0
51,5,0,0
32,1,3,0
39,1,1,0
32,5,1,0
43,3,1,0
30,1,2,0
33,0,1,1
25,2,6,0
50,4,0,1
34,2,0,3
38,1,2,0
32,1,1,0
41,8,2,1
36,4,0,0
39,3,0,0
37,1,1,0
37,3,1,0
25,0,1,1
37,0,4,0
33,2,1,0
28,0,1,0
43,0,1,1
42,0,4,2
26,1,0,0
27,0,7,0
41,1,2,0
43,1,2,1
39,2,2,0
42,1,2,0
46,0,0,0
37,0,2,0
38,1,2,0
33,1,0,0
35,6,1,0
31,1,1,0
48,1,1,0
27,0,9,1
37,6,2,1
38,1,1,0
24,2,13,0
33,0,1,0
24,5,5,2
29,3,6,0
33,0,0,0
33,1,2,0
49,5,1,0
27,7,0,2
31,3,0,1
39,2,3,0
31,1,1,1
34,8,0,0
39,0,1,0
26,2,0,0
28,3,4,0
23,2,9,0
38,3,0,0
34,1,2,0
32,0,14,1
35,1,2,1
41,4,2,0
34,0,1,0
33,7,0,0
42,6,0,0
31,1,0,0
36,2,0,0
39,0,1,1
34,3,1,1
33,0,0,0
45,2,1,0
35,2,0,0
36,2,6,1
31,0,1,0
37,0,5,0
51,9,1,0
33,0,2,0
43,3,4,1
38,2,2,0
26,5,4,1
39,1,2,0
35,3,1,0
49,0,1,0
36,2,1,0
37,6,6,3
32,1,2,0
29,4,3,1
33,4,2,0
32,2,1,1
30,3,10,2
39,1,1,0
65,0,3,0
40,3,2,0
39,2,2,0
40,1,2,0
45,3,1,0
35,0,2,0
31,3,1,1
21,1,6,2
38,1,0,0
27,1,2,1
30,4,1,0
33,4,1,0
33,4,2,0
31,2,1,0
34,0,2,0
37,2,2,0
38,1,2,1
54,0,2,0
49,2,0,0
42,1,2,0
37,1,0,0
26,2,1,3
38,5,2,1
38,1,0,0
39,1,0,0
47,1,0,0
38,0,1,0
42,4,1,0
41,2,1,0
39,2,1,0
32,1,1,0
30,0,6,1
35,0,0,0
34,1,0,0
37,1,1,2
40,1,0,1
34,2,1,1
34,7,1,1
29,1,9,0
31,2,8,1
39,4,2,1
29,1,1,0
25,6,3,2
37,0,5,0
25,3,1,0
34,4,1,0
49,1,2,1
30,2,6,1
34,3,2,1
37,1,0,0
38,1,0,0
48,1,2,0
36,2,2,0
33,9,2,1
48,3,1,1
51,0,3,0
44,3,1,0
36,9,1,2
28,2,2,0
39,0,2,1
31,1,5,0
34,4,2,1
35,0,0,0
41,1,1,0
40,0,5,1
34,1,3,0
31,0,0,0
28,1,6,1
31,0,5,1
42,1,1,0
29,3,4,2
31,0,0,0
28,0,1,0
35,1,3,0
34,2,7,0
25,4,1,1
42,4,4,2
27,6,1,0
31,1,2,1
34,1,2,0
38,1,2,1
32,0,0,0
34,5,2,0
28,2,4,0
35,0,1,0
36,0,2,0
34,4,1,0
44,0,2,0
46,1,2,0
29,0,1,0
38,5,1,1
42,3,0,0
37,1,1,0
20,2,7,0
37,2,2,0
29,2,6,1
32,2,1,1
41,2,0,1
32,0,0,0
31,0,3,0
32,8,0,0
26,0,0,0
33,1,2,1
29,5,1,1
29,0,0,0
26,7,2,0
38,1,1,0
30,0,4,0
38,0,2,0
34,0,2,0
30,5,1,1
34,2,2,0
26,2,2,0
42,0,4,0
38,1,2,0
39,3,1,0
38,0,0,0
35,2,3,0
25,3,1,0
34,2,7,1
31,3,5,1
42,4,0,0
42,1,1,0
38,8,0,2
31,10,2,2
26,6,1,2
28,4,1,3
30,0,1,1
29,1,5,0
38,2,0,0
33,1,2,1
32,0,3,0
42,3,1,0
36,0,0,0
36,0,2,0
43,2,2,1
31,0,4,0
44,1,2,0
30,2,2,0
30,5,0,0
32,2,2,0
35,3,0,0
39,6,2,0
32,5,1,0
37,3,0,1
29,2,1,0
36,0,2,0
26,0,3,0
41,2,2,1
41,5,0,0
36,1,0,1
28,4,2,2
42,1,2,2
45,3,2,0
32,2,1,0
36,1,0,1
37,0,2,0
32,0,2,0
41,2,0,1
39,0,3,1
36,1,1,2
37,1,3,0
29,1,1,0
35,2,3,0
36,0,2,0
34,4,1,0
29,0,2,1
27,2,0,1
29,0,3,0
43,1,1,1
39,1,1,0
34,1,3,0
32,1,1,0
41,0,0,0
39,2,0,0
42,2,7,1
42,2,2,0
38,4,0,0
37,3,7,1
32,2,2,1
30,3,3,2
43,0,2,0
34,0,1,0
33,2,0,1
35,2,1,0
44,2,9,2
37,4,2,2
41,1,2,0
38,1,3,1
32,5,3,1
31,1,5,0
34,3,2,0
44,2,1,0
32,2,6,2
34,2,2,0
29,1,1,1
38,3,1,2
31,1,0,0
39,1,1,0
34,2,0,0
33,0,2,1
30,0,0,1
43,0,4,0
35,3,1,0
29,4,2,0
35,1,2,1
27,1,3,4
34,1,2,1
26,2,0,2
26,1,2,0
32,5,1,0
41,2,1,1
27,1,1,1
35,2,1,0
36,4,4,2
38,0,1,1
42,1,1,0
36,2,5,1
29,1,1,0
34,3,1,0
42,1,0,0
35,1,0,0
26,4,5,1
36,1,2,1
32,1,4,0
32,1,1,0
43,1,1,0
35,1,2,1
27,0,10,2
35,3,3,2
33,0,2,0
47,0,2,0
33,2,1,0
39,5,4,1
30,0,8,0
38,1,0,0
32,2,1,0
36,1,2,0
32,0,4,0
37,0,0,1
35,1,1,0
23,3,2,1
31,6,2,0
33,0,7,2
29,1,5,0
31,3,3,0
40,0,0,1
31,1,3,0
44,2,7,3
41,0,2,0
43,0,1,0
33,1,2,0
24,5,10,1
42,1,4,0
43,2,1,0
35,2,2,0
31,4,1,1
36,4,1,2
35,1,2,1
30,1,4,2
39,2,1,0
45,1,1,0
42,0,2,1
32,1,2,0
38,0,2,0
28,1,1,2
28,4,2,1
37,2,2,0
29,2,2,2
38,1,1,0
27,3,1,2
42,2,1,0
37,1,1,0
51,1,1,2
32,2,2,2
29,1,1,0
38,1,2,0
38,2,6,0
32,3,1,0
32,1,1,0
36,1,2,0
37,0,0,0
41,0,1,0
28,1,1,0
36,0,1,0
28,1,1,0
36,1,0,0
37,3,0,0
35,0,2,0
31,2,1,0
34,1,1,0
35,3,0,1
31,8,0,1
34,2,1,0
28,1,1,0
26,3,10,1
46,0,0,0
45,1,1,0
31,0,7,0
40,0,2,2
32,0,6,0
36,0,1,0
32,0,5,0
31,4,0,2
42,1,15,1
36,4,1,2
30,3,1,3
40,0,2,1
32,1,0,2
39,3,1,0
16,3,14,3
49,2,1,0
29,2,1,0
33,0,0,1
31,0,0,0
36,1,2,0
38,3,1,0
36,0,0,0
31,3,3,0
33,4,0,1
43,2,1,0
35,2,0,1
28,3,1,0
27,4,2,1
33,0,0,0
35,0,2,0
44,4,2,1
36,4,2,3
33,1,2,0
36,1,2,0
30,2,1,1
25,2,3,2
42,2,3,0
37,0,1,0
46,4,0,0
39,3,1,0
42,9,2,1
32,2,2,0
27,5,2,0
47,1,2,0
37,1,5,1
37,2,0,0
40,0,2,0
37,2,1,1
28,1,3,0
41,0,2,0
49,2,2,0
40,2,2,0
29,2,9,0
33,5,1,0
34,5,3,0
24,0,0,1
31,1,1,0
20,7,1,0
54,0,1,1
32,3,2,0
39,1,1,0
49,1,1,0
34,1,2,0
39,2,0,0
34,2,5,1
49,2,1,0
33,1,5,0
30,0,0,1
32,5,1,2
46,4,2,0
40,0,0,0
40,5,1,0
30,2,1,0
46,2,1,0
40,2,8,2
37,1,4,0
45,2,0,0
42,2,3,0
37,1,2,1
20,0,1,0
35,2,3,2
44,2,4,3
32,0,1,0
39,3,5,1
25,3,6,0
30,3,1,1
31,1,0,0
40,1,1,0
46,2,2,0
38,2,2,0
26,5,0,0
40,2,2,0
50,2,3,0
36,2,1,0
35,4,0,2
22,4,4,2
46,1,1,1
39,1,2,0
28,2,2,0
35,1,2,0
41,5,4,0
28,0,1,0
37,2,1,0
37,1,2,0
31,3,6,0
37,2,3,0
50,1,1,0
40,2,1,0
32,2,1,1
24,8,0,2
34,1,2,0
30,8,2,0
41,2,0,1
36,1,0,0
24,3,2,1
47,2,1,1
43,1,2,0
26,4,1,1
32,0,1,0
48,1,1,0
41,1,1,1
50,2,1,1
51,0,2,1
38,1,1,1
40,2,1,0
31,1,1,0
48,2,1,0
29,0,0,1
30,3,8,0
39,2,0,0
41,1,1,0
39,1,2,0
47,3,0,0
19,5,7,3
38,6,0,2
35,1,4,0
34,0,2,1
30,0,1,0
38,1,0,0
41,2,1,1
32,1,3,0
33,1,3,0
32,3,1,1
31,1,0,0
36,1,1,0
51,0,0,0
38,1,5,1
39,9,0,0
40,3,0,0
43,0,2,0
34,2,1,0
53,0,1,0
39,7,0,1
31,2,1,0
33,3,1,1
33,3,0,2
36,1,3,0
43,6,0,0
33,4,1,0
46,2,0,0
39,3,1,0
35,4,0,0
37,6,4,1
35,3,2,0
35,1,0,0
39,4,0,0
41,1,2,1
30,6,1,0
34,3,1,1
35,1,1,0
35,1,1,1
34,3,0,0
39,2,1,0
26,1,1,0
41,1,0,0
26,2,7,2
32,4,1,0
23,3,5,0
35,7,0,1
34,5,0,2
24,4,4,1
42,1,0,1
41,1,1,0
36,1,2,0
40,3,2,0
45,1,0,0
27,0,1,1
40,3,6,2
29,4,0,0
39,1,3,0
28,0,4,0
26,1,2,0
43,2,0,0
36,1,1,0
23,4,4,1
30,0,9,2
33,1,0,0
41,0,0,1
48,3,1,0
46,3,0,1
38,1,1,0
28,1,0,0
25,3,0,2
43,2,0,1
33,1,3,2
44,2,2,1
37,0,1,0
46,2,2,0
39,6,1,0
31,1,2,1
43,3,0,1
37,1,2,0
38,2,1,0
34,2,1,0
19,3,8,1
40,2,1,0
32,1,1,0
46,5,3,2
39,4,1,0
41,2,1,0
39,0,1,0
55,1,0,1
46,6,4,0
31,0,1,0
34,7,2,1
29,3,2,0
26,9,0,0
39,1,2,0
41,1,0,0
34,0,2,0
30,1,2,1
44,4,0,1
32,1,3,1
34,3,4,0
45,1,1,0
33,1,1,0
38,4,2,0
45,1,4,1
37,1,3,0
36,0,15,0
30,2,4,0
40,3,3,1
45,3,0,0
40,0,1,0
32,2,0,0
27,2,0,0
31,6,1,1
46,1,2,0
31,0,1,0
48,2,5,1
43,0,0,1
35,2,1,1
41,2,2,2
32,0,1,0
38,2,1,0
44,7,0,1
39,2,0,1
35,4,1,0
31,1,2,0
47,2,3,0
36,0,1,0
27,2,2,2
44,0,1,0
27,2,0,0
39,1,1,0
26,1,7,2
34,0,1,1
26,0,9,0
28,0,6,1
26,5,1,0
34,0,2,0
27,7,0,1
35,3,4,0
42,2,2,1
30,6,0,0
33,2,1,0
32,2,8,0
37,0,1,0
37,0,1,0
48,0,2,0
32,3,0,1
32,5,1,1
40,1,2,0
43,1,1,0
34,3,1,0
41,1,2,0
32,0,2,0
32,1,0,1
46,3,0,0
40,2,0,0
37,3,4,2
32,0,2,0
32,6,0,1
39,7,2,1
35,1,1,1
32,4,5,0
40,1,0,0
29,3,1,2
36,4,3,1
37,4,2,1
39,0,0,0
41,6,3,2
27,0,1,0
36,2,1,0
46,1,0,0
33,2,4,0
38,0,1,0
36,1,0,0
42,1,2,0
30,3,0,0
29,1,0,1
39,2,5,0
46,0,0,1
33,2,2,1
41,1,2,0
47,2,1,0
45,3,1,1
52,1,1,0
32,3,7,1
39,1,2,0
41,5,2,0
38,1,1,0
32,1,1,0
42,1,1,0
30,2,1,0
38,2,0,2
40,1,1,0
38,1,0,0
34,2,7,1
37,3,0,1
34,0,1,0
34,0,2,0
34,0,0,0
34,1,1,0
41,0,0,1
23,3,2,1
32,1,2,0
27,3,0,1
38,3,1,0
36,0,3,1
30,4,2,0
31,0,10,1
36,3,3,1
41,0,1,0
48,2,1,1
39,0,1,0
51,6,1,0
37,1,1,0
36,0,1,0
30,1,2,2
40,1,3,1
32,4,1,1
31,5,2,1
42,0,2,0
28,2,0,0
32,0,8,0
27,0,12,3
36,0,1,0
30,0,1,1
35,1,0,0
41,3,0,0
41,0,0,0
27,6,1,1
37,1,2,0
32,1,1,1
27,2,7,0
37,2,2,0
35,6,2,0
25,2,5,2
33,0,2,0
36,3,1,0
42,0,1,0
27,0,6,1
31,4,3,3
50,0,1,0
26,3,7,0
37,1,2,0
47,1,1,0
34,2,3,0
29,1,1,0
50,4,1,0
26,3,0,0
33,0,2,0
43,1,0,0
35,1,7,2
40,1,1,1
35,1,3,0
33,7,3,0
38,2,1,0
40,0,1,0
34,0,1,0
32,5,3,0
27,2,2,1
35,1,1,3
34,0,1,2
36,2,6,4
26,6,7,2
29,5,1,1
35,4,3,2
33,2,0,1
35,2,2,0
39,1,0,0
34,1,1,0
40,2,2,1
39,2,2,0
39,5,0,1
40,3,1,0
35,1,3,0
34,8,1,1
28,4,0,1
33,2,1,1
43,2,1,1
38,2,2,0
29,7,3,0
43,1,1,0
24,2,8,4
29,2,1,0
49,0,2,0
44,2,1,1
36,1,1,0
34,2,2,0
33,0,1,0
35,1,2,0
38,1,0,0
34,1,2,1
31,5,1,2
45,1,1,0
42,1,2,0
30,5,3,1
34,0,1,1
35,5,3,2
49,4,1,0
26,3,8,1
25,0,1,0
36,2,1,0
30,4,3,1
42,1,1,0
36,5,0,0
20,4,5,1
34,1,1,0
34,1,2,1
36,0,0,0
35,0,3,0
47,0,0,0
43,1,1,1
33,3,2,0
39,3,1,1
36,0,0,1
43,1,1,0
35,3,3,0
35,0,4,0
26,7,0,2
41,0,0,1
36,2,1,0
40,1,3,0
30,2,1,0
39,0,2,1
32,2,3,2
37,4,2,2
35,2,3,0
35,1,2,0
35,2,1,0
25,3,6,2
38,5,0,0
38,0,1,0
34,2,4,4
46,0,1,0
42,2,0,3
23,6,1,1
38,1,1,0
33,9,2,0
32,0,1,0
25,0,5,0
33,7,0,0
29,6,0,0
30,3,4,3
35,1,0,0
37,0,2,0
28,1,0,0
36,1,1,0
33,3,4,1
29,6,4,2
34,0,2,0
48,3,0,0
29,3,8,0
34,1,2,0
23,6,2,2
41,3,0,0
37,2,8,2
44,0,2,0
44,0,1,0
40,1,8,0
34,0,6,2
31,1,2,0
37,4,1,3
43,1,2,1
26,2,6,1
28,1,4,2
34,2,11,3
29,2,3,2
35,1,0,1
48,1,2,0
34,2,1,1
41,3,2,0
32,3,0,1
45,0,2,0
30,2,1,2
42,3,1,0
30,6,1,0
40,9,2,0
33,0,4,3
39,5,0,2
31,2,1,0
37,1,1,0
46,2,0,0
33,0,0,0
33,0,0,1
30,1,6,0
29,2,5,3
42,1,1,0
38,2,2,0
39,1,2,0
30,2,0,1
47,3,0,1
40,1,1,1
39,6,2,2
41,6,0,0
28,3,0,1
42,0,1,0
46,2,2,0
45,0,0,0
38,1,1,0
39,7,0,0
33,1,1,0
45,3,1,0
42,1,2,1
35,1,1,0
31,1,0,0
40,2,1,0
40,1,1,0
36,1,1,0
46,2,1,0
36,2,3,1
39,3,3,1
29,1,11,0
46,3,0,0
34,2,2,0
37,1,6,0
40,2,1,0
29,2,7,1
48,1,0,0
38,1,1,0
49,0,1,1
31,1,4,0
41,0,1,0
45,0,5,0
42,2,3,0
38,6,1,1
41,4,2,2
34,1,2,0
49,2,1,1
33,4,2,0
31,1,6,3
26,4,2,0
33,0,0,0
29,0,1,0
30,0,1,0
37,0,2,0
29,1,3,2
35,0,3,1
44,1,1,0
36,3,5,0
31,0,0,0
37,0,1,0
33,4,1,2
44,4,3,1
46,2,2,0
29,0,0,1
39,1,4,0
36,2,3,0
28,2,0,0
35,1,0,0
32,0,6,0
26,2,2,0
34,3,0,1
33,1,0,0
41,0,2,0
42,2,2,0
38,2,1,0
30,4,5,3
29,0,5,2
39,4,5,1
33,0,7,0
42,1,0,0
36,4,0,0
41,0,0,0
37,2,2,0
47,1,0,0
29,0,1,0
27,0,8,0
48,1,1,0
27,0,1,0
34,3,0,0
39,2,1,0
34,2,1,0
29,3,7,1
24,4,1,0
34,3,0,0
37,0,0,0
38,2,0,0
39,3,3,0
29,2,1,0
36,1,2,0
44,2,1,0
35,0,1,0
31,2,6,1
36,0,1,0
40,0,7,0
43,3,2,0
45,2,0,0
42,1,1,0
20,6,0,0
29,3,0,0
39,1,3,1
30,0,3,0
46,1,0,1
43,0,1,0
31,2,2,0
37,3,1,1
31,2,1,0
35,0,0,0
42,0,4,0
36,2,1,0
30,1,1,0
27,7,1,0
45,1,1,0
40,1,1,0
47,2,0,0
33,0,2,0
32,3,2,0
39,0,0,0
33,2,0,0
50,0,2,1
43,1,2,1
34,1,11,0
32,4,0,0
